,Title,Authors,Description,Category
11,"without moral limits (updated edition): women, reproduction, and medical technology",debra evans,"throughout history women have traditionally passed along their knowledge of womanhood to their daughters, who in turn entrusted their own daughters with these precious secrets. sadly, it is a tradition lost. but at what cost?in this powerful book, debra evans eloquently and clearly presents what thousands of pages of research document: women's health care is in crisis. she details how medical ""experts"" have taken the place of mothers and grandmothers. how the womb has been rendered optional for procreation now that new techniques allow life to begin in a petrie dish. how doctors are ""liberating"" women from their biological, god-designed destiny and are disregarding medical and moral norms at the expense of their patients' emotions, finances, and bodies. and how, as the traditional domain of women has become the technical domain of doctors, our reproductive competency and dependence on god has increasingly eroded and been sabotaged by our trust in medical professionals and their technology.but evans also reminds us of a better way. one that understands god's wonderful plan for sexuality and childbearing-- and realizes that therein lies the greatest hope for women.","medical , reproductive medicine and technology"
12,antioxidant revolution,kenneth h. cooper,"from the groundbreaker in preventive medicine and father of the worldwide aerobics movement, dr. cooper takes the latest scientific antioxidant search from around the world and brings you a simple four step life plan that will revolutionize your health.  it's the simplest plan yet to build you own personal defense system for a longer, healthier life!","medical , alternative and complementary medicine"
13,burn unit: saving lives after the flames,barbara ravage,"&#147;a compelling blend of science, history and storytelling. barbara ravage has fashioned an enlightening, invaluable book.” &#151;stewart o&#39;nan, author of the circus fire: a true story of an american tragedythough each of us is just a spark away from being a burn victim, the public knows little and understands less about the world that patients inhabit. pulling the curtains back on this private and sterile environment, burn unit is a riveting account of the frontline efforts&#151;both modern-day and historical&#151;to save lives devastated by fire. with unflinching urgency, barbara ravage follows an extraordinary team of healers at massachusetts general hospital, the cradle of modern burn treatment and the site of one of the best burn units in the world. from boston&#39;s cocoanut grove fire of 1942 to the treatment of the victims of the rhode island nightclub fire in early 2003, we watch everyday heroes do their incredible but punishing work against the backdrop of history. both a moving human drama and an engrossing scientific exploration of this little-known field of medicine, burn unit is an unforgettably powerful read.","medical , emergency medicine"
14,natures pharmacy: break the drug cycle with safe natural alternative treatments for 200 everyday ailments,"ellen hodgson brown, lynne paige walker","compares natural and conventional treatments for more than two hundred health conditions, assessing their relative effectiveness, side effects, and cost","medical , alternative and complementary medicine"
15,the essential guide to cosmetic laser surgery,"lydia preston, tina s. alster","answers all your questions about the miracles of cosmetic laser surgery. includes everything you need to know about procedures, costs, safety, finding specialists, and making decisions.","medical , lasers in medicine"
16,manifesto for a new medicine: your guide to healing partnerships and the wise use of alternative therapies,james s. gordon,"more than a third of americans have already begun to explore alternative techniques such as yoga, meditation, nutritional therapies, massage, acupuncture, homeopathy, chiropractic, herbalism, and prayer, but we don't know which approaches to trust, or what accounts for their effectiveness, and our doctors are not able to tell us. we want an authoritative guide to separate what's truly worthwhile from what's simply well promoted, to help us to see what's right for each of us. james s. gordon is that guide, and manifesto for a new medicine is that guidebook. for the last twenty-five years, dr. gordon has pioneered an approach to healing that synthesizes the best of modern, scientific medicine with the best of the alternative techniques. here he leads us step by step through convincing and absorbing case studies of the successful use of these alternatives, presenting clearly and simply the scientific bases for them. he also shows us how each of us can incorporate alternative therapies as an integral part of our health care and our daily lives.","medical , alternative and complementary medicine"
17,"hands of life : an energy healer reveals the secrets of using your body's own energy medicine for healing, recovery and transformation",julie motz,"the first practitioner of alternative medicine permitted to work in an operating room, the author recounts her most remarkable successes in healing and offers readers step-by-step instruction on how to harness their innate healing energy.","medical , alternative medicine"
18,manifesto for a new medicine: your guide to healing partnerships and the wise use of alternative therapies,james s. gordon,"for the last twenty-five years, dr. james gordon has pioneered an approach to healing that synthesizes the best of modern scientific medicine with the best of the alternative techniques. here he leads us step by step through convincing and absorbing case studies of the successful use of these alternatives, presenting clearly and simply the scientific basis for them. he also shows us how each of us can incorporate alternative therapies as an integral part of our health care and our daily lives.","medical , alternative and complementary medicine"
19,"the creation of health: the emotional, psychological, and spiritual responses that promote health and healing","c. norman shealy, caroline m. myss","a collaboration between a traditionally trained physician and a medical intuitive, the creation of health illuminates the deep connection between emotional dysfunction and physical illness. it describes the role that emotional disturbances play in the most common diseases and ailments from the common cold to arthritis, diabetes, heart disease, and cancer.after providing an introduction to intuitive medicine and its history, method of diagnosis, and relationship to traditional medicine, myss and shealy detail the deeper emotional and psychic reasons why illness develops in the body. dr. shealy offers a traditional account of a particular disease or ailment, while dr. myss sheds light on the deeper causes through her corresponding energy analysis.confirming the link between illness and emotion, the creation of health puts forth a groundbreaking vision of holistic healing.","medical , alternative and complementary medicine"
20,emergency!: true stories from the nation's ers,mark brown,"a real-life portrait of america's emergency rooms presents a collection of life-saving dramas, poignant tragedies, and humorous moments based on the experiences of doctors and nurses from across the country. 75,000 first printing. tour.","medical , emergency medicine"
21,headache relief,"alan m. rapoport, fred d. sheftell","presents information on the latest diagnostic tests and cures for headaches and discusses types of headaches, biofeedback, relaxation techniques, and diet and exercise","medical , pain medicine"
22,"dr. rosenfeld's guide to alternative medicine: what works, what doesn't--and what's right for you",isadore rosenfeld,"""for those curious, confused, or downright leery about alternative medicine, the open-minded, plainspoken rosenfeld offers some sound information.""--publishers weeklyhere at last is an authoritative , comprehensive look at the controversial field of alternative medicine. a distinguished and experienced clinician, dr. isadore rosenfeld reviews the track records of dozens of widely used alternative therapies, including acupuncture, aromatherapy, homeopathy, hypnosis, and reflexology. for each approach, he describes how it is used, the theories on which it is based, how much scientific evidence exists to support claims for it, and--perhaps most important--whether it actually works. with wit and candor he explainshow claims made by some alternative practitioners may be valid even though they cannot be proven by the scientific methodhow hypnosis can be used to treat ""physical"" conditions like asthma as well as emotional disorderswhich herbal preparations should be added to, or even replace, conventional drugswhy you should try to have acupuncture immediately after a strokehow certain aromas can help claustrophobia, improve your sex life, and help you sleepwhy fasting can be good for your spirit but bad for your health","medical , alternative and complementary medicine"
23,innumeracy: mathematical illiteracy and its consequences (vintage),john allen paulos,"documents the widespread ignorance of simple concepts of numbers and probability, and shows how this mathematical illiteracy leads to wrong decisions in both public and private life","mathematics , general"
24,quick algebra review (wiley self teaching guides),peter h. selby,"covers factors, fractions, exponents, linear equations, functions, graphs, quadratic equations, inequalities, ratio, proportion, and variation, and includes practice exercises","mathematics , algebra , general"
25,the joy of pi,david blatner,"no number has captured the attention and imagination of people throughout the ages as much as the ratio of a circle's circumference to its diameter. pi–or ? as it is symbolically known–is infinite and, in the joy of pi, it proves to be infinitely intriguing. with incisive historical insight and a refreshing sense of humor, david blatner explores the many facets of pi and humankind's fascination with it–from the ancient egyptians and archimedes to leonardo da vinci and the modern-day chudnovsky brothers, who have calculated pi to eight billion digits with a homemade supercomputer.the joy of pi is a book of many parts. breezy narratives recount the history of pi and the quirky stories of those obsessed with it. sidebars document fascinating pi trivia (including a segment from the 0. j. simpson trial). dozens of snippets and factoids reveal pi's remarkable impact over the centuries. mnemonic devices teach how to memorize pi to many hundreds of digits (or more, if you're so inclined). pi-inspired cartoons, poems, limericks, and jokes offer delightfully ""square"" pi humor. and, to satisfy even the most exacting of number jocks, the first one million digits of pi appear throughout the book.a tribute to all things pi, the joy of pi is sure to foster a newfound affection and respect for the big number with the funny little symbol.","young adult nonfiction , mathematics , general"
26,algebra & trigonometry super review,"m. fogiel, education association research","get all you need to know with super reviews! each super review is packed with in-depth, student-friendly topic reviews that fully explain everything about the subject. the algebra and trigonometry super review includes sets and set operations, number systems and fundamental algebraic laws and operations, exponents and radicals, polynomials and rational expressions, equations, linear equations and systems of linear equations, inequalities, relations and functions, quadratic equations, equations of higher order, ratios, proportions, and variations. take the super review quizzes to see how much you've learned - and where you need more study. makes an excellent study aid and textbook companion. great for self-study!details- from cover to cover, each in-depth topic review is easy-to-follow and easy-to-grasp - perfect when preparing for homework, quizzes, and exams!- review questions after each topic that highlight and reinforce key areas and concepts- student-friendly language for easy reading and comprehension- includes quizzes that test your understanding of the subject.","mathematics , algebra , general"
27,numerical recipes: the art of scientific computing,"saul a. teukolsky, brian p. flannery, william h., press, william t. vetterling","this book aims to teach the methods of numerical computing, and as such it is a practical reference and textbook for anyone using numerical analysis. the authors provide the techniques and computer programs needed for analysis and also advice on which techniques should be used for solving certain types of problems. the authors assume the reader is mathematically literate and is familiar with fortran and pascal programming languages, but no prior experience with numerical analysis or numerical methods is assumed. the book includes all the standard topics of numerical analysis (linear equations, interpolation and extrapolation, integration, nonlinear rootfinding, eigensystems and ordinary differential equations). the programs in the book are in ansi-standard fortran-77 for the main text, and are repeated in ucsdpascal at the end. they are available on discs for use on ibm-pc microcomputers and their compatibles. a workbook providing sample programs that illustrate the use of each subroutine and procedure is available, as well as discs giving programs listed in the book in uscd-pascal and fortran-77 for use on ibm-pc microcomputers and their compatibles.","mathematics , number theory"
28,calculus: single variable,deborah hughes-hallett,"a revision of the best selling innovative calculus text on the market. functions are presented graphically, numerically, algebraically, and verbally to give readers the benefit of alternate interpretations. the text is problem driven with exceptional exercises based on real world applications from engineering, physics, life sciences, and economics. revised edition features new sections on limits and continuity, limits, l'hopital's rule, and relative growth rates, and hyperbolic functions.","mathematics , calculus"
29,everyday math demystified,stan gibilisco,"this book provides a review of high school level mathematics and is designed as a self-study aid. chapters cover number operations, variables, extreme numbers, measurements, algebra, beginning statistics, probability, geometry, graphs, intro trigonometry, vectors, exponentials and logarithms, and simple classical physics. ""open-book"" quizzes, ""closed-book"" tests, and a final exam are included, along with their answer keys. annotation ©2005 book news, inc., portland, or (booknews.com)","mathematics , arithmetic"
30,pre-calculus super review,"education association research, m. fogiel","get all you need to know with super reviews! each super review is packed with in-depth, student-friendly topic reviews that fully explain everything about the subject. the pre-calculus super review includes sets, numbers, operations and properties, coordinate geometry, fundamental algebraic topics, solving equations and inequalities, functions, trigonometry, exponents and logarithms, conic sections, matrices, and determinants. take the super review quizzes to see how much you've learned - and where you need more study. makes an excellent study aid and textbook companion. great for self-study!details- from cover to cover, each in-depth topic review is easy-to-follow and easy-to-grasp - perfect when preparing for homework, quizzes, and exams!- review questions after each topic that highlight and reinforce key areas and concepts- student-friendly language for easy reading and comprehension- includes quizzes that test your understanding of the subject","mathematics , calculus"
31,hershey's kisses subtraction book,"jerry pallotta, rob bolster","author and educator jerry pallotta teaches children subtraction in this tasty-looking book featuring the well-known chocolate hershey's kisses!children love chocolate! and what better way to teach them the basics of subtraction than with yummy hershey's kisses?this follow-up title to the hershey's kisses addition book, which also features wacky and colorful clowns, is taught by jerry pallotta in a fun, relaxed way that has become his trademark!","juvenile nonfiction , mathematics , general"
32,"mathematical magic show: more puzzles, games, diversions, illusions and other mathematical sleight-of-mind from scientific american",martin gardner,"a dictionary of games, puzzles, and tricks that move from nothing to everything and range from finger arithmetic to game theory","mathematics , general"
33,calculus i essentials (essentials study guides),"education association research, m. fogiel","rea’s essentials provide quick and easy access to critical information in a variety of different fields, ranging from the most basic to the most advanced. as its name implies, these concise, comprehensive study guides summarize the essentials of the field covered. essentials are helpful when preparing for exams, doing homework and will remain a lasting reference source for students, teachers, and professionals. calculus i covers functions, limits, basic derivatives, and integrals.","mathematics , calculus"
34,lady luck: the theory of probability (dover books on mathematics),warren weaver,"""should i take my umbrella?"" ""should i buy insurance?"" ""which horse should i bet on?"" every day ― in business, in love affairs, in forecasting the weather or the stock market questions arise which cannot be answered by a simple ""yes"" or ""no."" many of these questions involve probability. probabilistic thinking is as crucially important in ordinary affairs as it is in the most abstruse realms of science. this book is the best nontechnical introduction to probability ever written. its author, the late dr. warren weaver, was a professor of mathematics, active in the rockefeller and sloan foundations , an authority on communications and probability, and distinguished for his work at bridging the gap between science and the average citizen. in accessible language and drawing upon the widely diverse writings of thinkers like kurt godel, susanne k.langer, and nicholas bernoulli, dr. weaver explains such concepts as permutations, independent events, mathematical expectation, the law of averages, chebychev's theorem, the law of large numbers, and probability distributions. he uses a probabilistic viewpoint to illuminate such matters as rare events and coincidences, and also devotes space to the relations of probability and statistics, gambling, and modern scientific research. dr. weaver writes with wit, charm and exceptional clarity. his mathematics is elementary, grasp of the subject profound, and examples fascinating. they are complemented by 49 delightful drawings by peg hosford. 13 tables. 49 drawings. foreword. index.","mathematics , probability and statistics , general"
35,algebra for dummies,mary jane sterling,"one of the most commonly asked questions in a mathematics classroom is, ""will i ever use this stuff in real life?"" some teachers can give a good, convincing answer; others hem and haw and stare at the floor. the real response to the question should be, ""yes, you will, because algebra gives you power"" – the power to help your children with their math homework, the power to manage your finances, the power to be successful in your career (especially if you have to manage the company budget). the list goes on.algebra is a system of mathematical symbols and rules that are universally understood, no matter what the spoken language. algebra provides a clear, methodical process that can be followed from beginning to end to solve complex problems. there's no doubt that algebra can be easy to some while extremely challenging to others. for those of you who are challenged by working with numbers, algebra i for dummies can provide the help you need.this easy-to-understand reference not only explains algebra in terms you can understand, but it also gives you the necessary tools to solve complex problems. but rest assured, this book is not about memorizing a bunch of meaningless steps; you find out the whys behind algebra to increase your understanding of how algebra works.in algebra i for dummies, you'll discover the following topics and more:all about numbers – rational and irrational, variables, and positive and negativefiguring out fractions and decimalsexplaining exponents and radicalssolving linear and quadratic equationsunderstanding formulas and solving story problemshaving fun with graphstop ten lists on common algebraic errors, factoring tips, and divisibility rules.no matter if you're 16 years old or 60 years old; no matter if you're learning algebra for the first time or need a quick refresher course; no matter if you're cramming for an algebra test, helping your kid with his or her homework, or coming up with next year's company budget, algebra i for dummies can give you the tools you need to succeed.","mathematics , algebra , general"
36,doing data analysis with spss 10.0,"robert h. carver, jane gradwohl nash","a supplement for an introductory statistics course, enabling students to work independently to learn software skills outside of class and to understand underlying statistical concepts and techniques. each session addresses a statistical issue and how to approach it with spss, rather than highlighting a particular feature of the software. questions and challenges that illustrate the relevance of statistical reasoning are interwoven throughout. nearly all data sets used are real, and reflect a variety of disciplines. the authors are affiliated with stonehill college. annotation c. book news, inc., portland, or (booknews.com)","mathematics , probability and statistics , general"
37,a mathematician reads the newspaper,john allen paulos,"john allen paulos is a master at shedding mathematical lights on our everyday world:what exactly did lani guinier say about quotas?what is the probability of identifying a murderer through dna testing?which are the real risks to our health and which the phony ones?employing the same fun-filled, user-friendly, and quirkily insightful approach that put innumeracy on best-seller lists, paulos now leads us through the pages of the daily newspaper, revealing the hidden mathematical angles of countless articles. from the senate, the sats, and sex to crime, celebrities, and cults, paulos takes stories that may not seem to involve mathematics at all and demonstrates how mathematical naïveté can put readers at a distinct disadvantage.whether he’s using chaos theory to puncture economic and environmental predictions, applying logic and self-reference to clarify the hazards of spin doctoring and news compression, or employing arithmetic and common sense to give us a novel perspective on greed and relationships, paulos never fails to entertain and enlighten.even if you hated math in school, you’ll love the numerical vignettes in this book.","mathematics , general"
38,intermediate algebra: a graphing approach,"k. elayn martin-gay, margaret greene","this book provides a solid foundation in algebra with a  clear and well-constructed writing style, superb problem-solving strategies,  and other qualities that have made the martin-gay series so successful.   features incorporation of amatyc and nctm  standards?reflected in an increased emphasis on visualization graphing,  and data analysis.  designed for those in need of a graphing  utility resource in intermediate algebra, and for readers who need to prepare for advanced algebra or finite math.","mathematics , algebra , intermediate"
39,a short introduction to numerical analysis,m. v. wilkes,"this short book sets out the principles of the methods commonly employed in obtaining numerical solutions to mathematical equations and shows how they are applied in solving particular types of equations. now that computing facilities are available to most universities, scientific and engineering laboratories and design shops, an introduction to numerical method is an essential part of the training of scientists and engineers. a course on the lines of professor wilkes's book is given to graduate or undergraduate students of mathematics, the physical sciences and engineering at many universities and the number will increase. by concentrating on the essentials of his subject and giving it a modern slant, professor wilkes has written a book that is both concise and that covers the needs of a great many users of digital computers; it will serve also as a sound introduction for those who need to consult more detailed works.","mathematics , mathematical analysis"
40,mind tools: the five levels of mathematical reality,rudy rucker,"now available in paperback, mind tools connects mathematics to the world around us. reveals mathematics' great power as an alternative language for understanding things and explores such concepts as logic as a computing tool, digital versus analog processes and communication as information transmission.","mathematics , general"
41,the art of the infinite: the pleasures of mathematics,"robert kaplan, ellen kaplan","robert kaplan's the nothing that is: a natural history of zero was an international best-seller, translated into eight languages. the times called it ""elegant, discursive, and littered with quotes and allusions from aquinas via gershwin to woolf"" and the philadelphia inquirer praised it as ""absolutely scintillating.""      in this delightful new book, robert kaplan, writing together with his wife ellen kaplan, once again takes us on a witty, literate, and accessible tour of the world of mathematics. where the nothing that is looked at math through the lens of zero, the art of the infinite takes infinity, in its countless guises, as a touchstone for understanding mathematical thinking. tracing a path from pythagoras, whose great theorem led inexorably to a discovery that his followers tried in vain to keep secret (the existence of irrational numbers); through descartes and leibniz; to the brilliant, haunted georg cantor, who proved that infinity can come in different sizes, the kaplans show how the attempt to grasp the ungraspable embodies the essence of mathematics. the kaplans guide us through the ""republic of numbers,"" where we meet both its upstanding citizens and more shadowy dwellers; and we travel across the plane of geometry into the unlikely realm where parallel lines meet. along the way, deft character studies of great mathematicians (and equally colorful lesser ones) illustrate the opposed yet intertwined modes of mathematical thinking: the intutionist notion that we discover mathematical truth as it exists, and the formalist belief that math is true because we invent consistent rules for it.       ""less than all,"" wrote william blake, ""cannot satisfy man."" the art of the infinite shows us some of the ways that man has grappled with all, and reveals mathematics as one of the most exhilarating expressions of the human imagination.","mathematics , infinity"
42,"read any good math lately?: children's books for mathematical learning, k-6 (for school mathematics addenda)",sandra wilde,"children's books provide an authentic context for using mathematics. they celebrate mathematics as a language for describing and framing our world. and they are also a nonthreatening vehicle for investigating a variety of mathematical concepts and relationships. read any good math lately? acquaints readers with some of the best children's literature containing a mathematical subtext, including fiction, nonfiction, poetry, books of games and puzzles, books that reflect different cultures. the titles are diverse, but they all address a range of mathematical topics: place value, estimation, large numbers, geometry, measurement, fractions, classification, addition, subtraction, multiplication, and division. plus comprehensive bibliographies of books for all ages are provided for further exploration. filled with children's work and numerous classroom scenarios, read any good math lately? demonstrates the rich potential literature holds for engaging learners in a variety of mathematical investigations. it is an invitation to teachers, parents, and librarians to make the reading and sharing of good literature a natural part of mathematics teaching and learning.","education , teaching methods and materials , mathematics"
43,precalculus: enhanced with graphing utilities (2nd edition),michael sullivan,"emphasizing graphing technology and business applications, this user-friendly book is the perfect reference for everyday and business mathematics.  solves problems using both algebra and a graphing utility, with the benefits of each illustrated. uses real data to help readers make connections between the mathematics learned and familiar situations. uses up-to-date technology including the more powerful features of zero(root) and intersect, with minimal use of trace. helps readers quickly identify key points in the book with a vivid new full-color design.  for anyone who needs to brush up on everyday or business-related mathematics.","mathematics , general"
44,a tour of the calculus,david berlinski,"were it not for the calculus, mathematicians would have no way to describe the acceleration of a motorcycle or the effect of gravity on thrown balls and distant planets, or to prove that a man could cross a room and eventually touch the opposite wall. just how calculus makes these things possible and in doing so finds a correspondence between real numbers and the real world is the subject of this dazzling book by a writer of extraordinary clarity and stylistic brio. even as he initiates us into the mysteries of real numbers, functions, and limits, berlinski explores the furthest implications of his subject, revealing how the calculus reconciles the precision of numbers with the fluidity of the changing universe. ""an odd and tantalizing book by a writer who takes immense pleasure in this great mathematical tool, and tries to create it in others.""--new york times book review","mathematics , calculus"
45,nature of nature: new essays from america's finest writers on nature,"diane sterling, william h. shore","a collection of essays and photographs provides a holistic, many-angled view of humankind's relationship to the earth and features the world of natalie angier, diane ackerman, thomas eisner, peter mattheiessen, judith stone, and more","mathematics , general"
46,cliffsstudysolver algebra ii,mary jane sterling,"the cliffsstudysolver workbooks combine 20 percent review material with 80 percent practice problems (and the answers!) to help make your lessons stick.cliffsstudysolver algebra ii is for students who want to reinforce their knowledge with a learn-by-doing approach. inside, you’ll get the practice you need to factor and solve equations with handy tools such asstraightforward, concise reviews of every topicpractice problems in every chapter — with explanations and solutionsa diagnostic pretest to assess your current skillsa full-length exam that adapts to your skill levelbeginning with the rules for exponents and operations involving polynomials, this workbook ventures into quadratic equations, function transformations, rational root theorem, and more. you'll explore factoring by grouping, graphing, complex numbers, and hyperbola, plus details aboutsolving exponential and logarithmic equationsusing a graphing calculator to graph lines and polynomialsdealing with story problems using systems of equationsperforming scalar and matrix multiplicationfactoring binomials, trinomials, and other polynomialspractice makes perfect — and whether you're taking lessons or teaching yourself, cliffsstudysolver guides can help you make the grade.","mathematics , algebra , general"
47,"fractions & decimals :middle grades: inventive exercises to sharpen skills and raise achievement (basic, not boring math skills)","imogene forte, marjorie frank, terri, breeden, andrea sukow","this set of standards-based reproducible activity pages is basic, not boring. infractions and decimals, students apply a variety of math skills to sports-related adventures. they will convert and identify factors and multiples, reduce fractions to the lowest terms, compare decimals, write ratios, and solve computation problems using fractions, decimals, and percentages. an assessment and glossary of terms is provided.","education , teaching methods and materials , mathematics"
48,statistics manual (dover books on mathematics),edwin l. crow,"this manual was prepared under the auspices of the u.s. naval ordinance test station, china lake, california, to provide a comprehensive collection of classical and modem methods of making statistical inferences. the many examples taken from ordnance development will prove valuable to workers in all fields which use statistics, including the social sciences, as well as the physical sciences and engineering. formulas, explanations, and methods of application are given, with emphasis throughout on use. the reader is assumed to have a basic knowledge of statistics.information is given on fiducial limits, power of a test, determination of sample size, sign tests, relations of means and variances, chi-square runs, transformations for obtaining normality, sensitivity, analysis of variance tests for homogeneity of variances, linear, multiple, and non-linear regression, correlation, reliability, confidence intervals for predicted values, quality control, measures of central tendency, measures of dispersion, various distributions, and many other areas and topics.an appendix of 32 valuable tables and charts is included, several of which are difficult to find elsewhere. they indicate critical values for the m distribution for testing the null hypothesis that k populations have the same variance; critical values for runs; critical values for tests using the range; probabilities of shots falling in certain 2-dimensional places, confidence belts for proportions, oc curves, etc. ""well written ... excellent reference work."" — operations research.","mathematics , probability and statistics , general"
49,science fair: developing a successful and fun project,maxine haren iritz,"explains how to choose a subject, write a background research paper, perform the experiment, and set up the science fair display","mathematics , general"
50,"kaplan math power, third edition: score higher on the sat, gre, and other standardized tests",robert stanton,"empower yourself. conquer math anxiety.  whether you want to sharpen your skills for school or standardized tests, better manage your personal and business finances, or just make more sense out of sports statistics, this book will boost your math skills and confidence. covering all the math skills an educated person should know, kaplan math power is the essential mathematics guide for non-mathematicians.  kaplan math power includes: ? a thorough review of key content areas, including algebra, percents, geometry, and probability ? engaging real world examples to help you apply math in school, on standardized tests, at work, and even at play ? a user-friendly organization that adapts to your needs ? clear explanations of all practice material ? a glossary of key terms","mathematics , study and teaching"
