JavaScript: The Definitive Guide , David Flanagan ,3,"Since 1996, JavaScript: The Definitive Guide has been the bible for JavaScript programmers—a programmer's guide and comprehensive reference to the core language and to the client-side JavaScript APIs defined by web browsers. The 6th edition covers HTML5 and ECMAScript 5. Many chapters have been completely rewritten to bring them in line with today's best web development practices. New chapters in this edition document jQuery and server side JavaScript. It's recommended for experienced programmers who want to learn the programming language of the Web, and for current JavaScript programmers who want to master it. ""A must-have reference for expert JavaScript programmers...well-organized and detailed."" —Brendan Eich, creator of JavaScript, CTO of Mozilla ""I made a career of what I learned from JavaScript: The Definitive Guide.” —Andrew Hedges, Tapulous"
Modern C , Jens Gustedt ,3,"Summary Modern C focuses on the new and unique features of modern C programming. The book is based on the latest C standards and offers an up-to-date perspective on this tried-and-true language. About the technology C is extraordinarily modern for a 50-year-old programming language. Whether you’re writing embedded code, low-level system routines, or high-performance applications, C is up to the challenge. This unique book, based on the latest C standards, exposes a modern perspective of this tried-and-true language. About the book Modern C introduces you to modern day C programming, emphasizing the unique and new features of this powerful language. For new C coders, it starts with fundamentals like structure, grammar, compilation, and execution. From there, you’ll advance to control structures, data types, operators, and functions, as you gain a deeper understanding of what’s happening under the hood. In the final chapters, you’ll explore performance considerations, reentrancy, atomicity, threads, and type-generic programming. You’ll code as you go with concept-reinforcing exercises and skill-honing challenges along the way. What's inside Operators and functions Pointers, threading, and atomicity C’s memory model Hands-on exercises About the reader For programmers comfortable writing simple programs in a language like Java, Python, Ruby, C#, C++, or C. About the author Jens Gustedt is a senior scientist at the French National Institute for Computer Science and Control (INRIA) and co-editor of the ISO C standard."
"Unit Testing Principles, Practices, and Patterns ", Vladimir Khorikov ,2,"""This book is an indispensable resource."" - Greg Wright, Kainos Software Ltd. Radically improve your testing practice and software quality with new testing styles, good patterns, and reliable automation. Key Features A practical and results-driven approach to unit testing Refine your existing unit tests by implementing modern best practices Learn the four pillars of a good unit test Safely automate your testing process to save time and money Spot which tests need refactoring, and which need to be deleted entirely Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About The Book Great testing practices maximize your project quality and delivery speed by identifying bad code early in the development process. Wrong tests will break your code, multiply bugs, and increase time and costs. You owe it to yourself—and your projects—to learn how to do excellent unit testing. Unit Testing Principles, Patterns and Practices teaches you to design and write tests that target key areas of your code including the domain model. In this clearly written guide, you learn to develop professional-quality tests and test suites and integrate testing throughout the application life cycle. As you adopt a testing mindset, you’ll be amazed at how better tests cause you to write better code. What You Will Learn Universal guidelines to assess any unit test Testing to identify and avoid anti-patterns Refactoring tests along with the production code Using integration tests to verify the whole system This Book Is Written For For readers who know the basics of unit testing. Examples are written in C# and can easily be applied to any language. About the Author Vladimir Khorikov is an author, blogger, and Microsoft MVP. He has mentored numerous teams on the ins and outs of unit testing. Table of Contents: PART 1 THE BIGGER PICTURE 1 ¦ The goal of unit testing 2 ¦ What is a unit test? 3 ¦ The anatomy of a unit test PART 2 MAKING YOUR TESTS WORK FOR YOU 4 ¦ The four pillars of a good unit test 5 ¦ Mocks and test fragility 6 ¦ Styles of unit testing 7 ¦ Refactoring toward valuable unit tests PART 3 INTEGRATION TESTING 8 ¦ Why integration testing? 9 ¦ Mocking best practices 10 ¦ Testing the database PART 4 UNIT TESTING ANTI-PATTERNS 11 ¦ Unit testing anti-patterns"
Clean Architecture: A Craftsman's Guide to Software Structure and Design , Robert Martin ,2,"The Educated Mind offers a bold and revitalizing new vision for today's uncertain educational system. Kieran Egan reconceives education, taking into account how we learn. He proposes the use of particular ""intellectual tools""—such as language or literacy—that shape how we make sense of the world. These mediating tools generate successive kinds of understanding: somatic, mythic, romantic, philosophical, and ironic. Egan's account concludes with practical proposals for how teaching and curriculum can be changed to reflect the way children learn. ""A carefully argued and readable book. . . . Egan proposes a radical change of approach for the whole process of education. . . . There is much in this book to interest and excite those who discuss, research or deliver education.""—Ann Fullick, New Scientist ""A compelling vision for today's uncertain educational system.""—Library Journal ""Almost anyone involved at any level or in any part of the education system will find this a fascinating book to read.""—Dr. Richard Fox, British Journal of Educational Psychology ""A fascinating and provocative study of cultural and linguistic history, and of how various kinds of understanding that can be distinguished in that history are recapitulated in the developing minds of children.""—Jonty Driver, New York Times Book Review"
Code Complete: A Practical Handbook of Software Construction , Steve McConnell ,2,"Widely considered one of the best practical guides to programming, Steve McConnell’s original CODE COMPLETE has been helping developers write better software for more than a decade. Now this classic book has been fully updated and revised with leading-edge practices—and hundreds of new code samples—illustrating the art and science of software construction. Capturing the body of knowledge available from research, academia, and everyday commercial practice, McConnell synthesizes the most effective techniques and must-know principles into clear, pragmatic guidance. No matter what your experience level, development environment, or project size, this book will inform and stimulate your thinking—and help you build the highest quality code. Discover the timeless techniques and strategies that help you: Design for minimum complexity and maximum creativity Reap the benefits of collaborative development Apply defensive programming techniques to reduce and flush out errors Exploit opportunities to refactor—or evolve—code, and do it safely Use construction practices that are right-weight for your project Debug problems quickly and effectively Resolve critical construction issues early and correctly Build quality into the beginning, middle, and end of your project"
Modern Software Engineering: Doing What Works to Build Better Software Faster , David Farley ,2,"Improve Your Creativity, Effectiveness, and Ultimately, Your Code In Modern Software Engineering, continuous delivery pioneer David Farley helps software professionals think about their work more effectively, manage it more successfully, and genuinely improve the quality of their applications, their lives, and the lives of their colleagues. Writing for programmers, managers, and technical leads at all levels of experience, Farley illuminates durable principles at the heart of effective software development. He distills the discipline into two core exercises: learning and exploration and managing complexity. For each, he defines principles that can help you improve everything from your mindset to the quality of your code, and describes approaches proven to promote success. Farley's ideas and techniques cohere into a unified, scientific, and foundational approach to solving practical software development problems within realistic economic constraints. This general, durable, and pervasive approach to software engineering can help you solve problems you haven't encountered yet, using today's technologies and tomorrow's. It offers you deeper insight into what you do every day, helping you create better software, faster, with more pleasure and personal fulfillment. Clarify what you're trying to accomplish Choose your tools based on sensible criteria Organize work and systems to facilitate continuing incremental progress Evaluate your progress toward thriving systems, not just more ""legacy code"" Gain more value from experimentation and empiricism Stay in control as systems grow more complex Achieve rigor without too much rigidity Learn from history and experience Distinguish ""good"" new software development ideas from ""bad"" ones Register your book for convenient access to downloads, updates, and/or corrections as they become available. See inside book for details."
Precalculus: A Prelude to Calculus , Sheldon Axler ,2,"Sheldon Axler's Precalculus: A Prelude to Calculus, 3rd Edition focuses only on topics that students actually need to succeed in calculus. This book is geared towards courses with intermediate algebra prerequisites and it does not assume that students remember any trigonometry. It covers topics such as inverse functions, logarithms, half-life and exponential growth, area, e, the exponential function, the natural logarithm and trigonometry."
Data Structures and Algorithm Analysis in C++ , Mark Allen Weiss ,2,"""Data Structures and Algorithm Analysis in C++"" by Mark Allen Weiss is a comprehensive textbook on data structures and algorithms, with implementations in C++. It covers fundamental data structures like lists, stacks, queues, and trees, as well as advanced topics like graph algorithms and algorithm analysis. The book emphasizes the connection between data structures and their algorithms, providing a balance between theory and practice. It includes numerous examples and exercises, making it suitable for both classroom use and self-study for those with a background in C++ programming."
Introduction to Graph Theory , Richard J. Trudeau ,2,"This book offers a clear and accessible introduction to graph theory, a branch of mathematics with numerous applications in computer science, engineering, and other fields. Trudeau covers fundamental concepts such as graph definitions, paths and circuits, trees, connectivity, planar graphs, and graph coloring. The book is well-written and includes many illustrative examples and exercises, making it an ideal resource for students and anyone interested in learning the basics of graph theory.'"
Introductory Discrete Mathematics , V. K . Balakrishnan ,2,"Introductory Discrete Mathematics by V.K. Balakrishnan is a concise textbook aimed at undergraduate students in computer science and mathematics. The book emphasizes combinatorics, graph theory, and network optimization problems with an algorithmic approach. It covers fundamental topics such as set theory, logic, counting principles, permutations, combinations, generating functions, and recurrence relations. The text also includes chapters on graph theory and network optimization algorithms. Balakrishnan provides numerous examples, exercises, and historical notes throughout the book. The final chapter briefly introduces the theory of NP-completeness. This text is designed to provide a solid foundation in discrete mathematics, highlighting its applications in computer science"
Number Theory , George E. Andrews ,2,"This lively, practical text presents a fresh and comprehensive approach to doing qualitative research. The book offers a unique balance of theory and clear-cut choices for customizing every phase of a qualitative study. A scholarly mix of classic and contemporary studies from multiple disciplines provides compelling, field-based examples of the full range of qualitative approaches. Readers learn about adaptive ways of designing studies, collecting data, analyzing data, and reporting findings. Key aspects of the researcher's craft are addressed, such as fieldwork options, the five phases of data analysis (with and without using computer-based software), and how to incorporate the researcher's “declarative” and “reflective” selves into a final report. Ideal for graduate-level courses, the text includes:* Discussions of ethnography, grounded theory, phenomenology, feminist research, and other approaches.* Instructions for creating a study bank to get a new study started.* End-of-chapter exercises and a semester-long, field-based project.* Quick study boxes, research vignettes, sample studies, and a glossary.* Previews for sections within chapters, and chapter recaps.* Discussion of the place of qualitative research among other social science methods, including mixed methods research."
How to Solve It: A New Aspect of Mathematical Method ," George Polya, John H. Conway ",2,"Outlines a method of solving mathematical problems for teachers and students based upon the four steps of understanding the problem, devising a plan, carrying out the plan, and checking the results."
How to Prove It: A Structured Approach , Daniel J. Velleman ,2,"""How to Solve It: A New Aspect of Mathematical Method"" by George Polya, with a foreword by John H. Conway, is a classic guide to problem-solving first published in 1945. Polya presents a systematic approach to solving mathematical problems that can be applied to various fields. The book outlines four main steps: understanding the problem, devising a plan, carrying out the plan, and looking back. It also includes a ""heuristic dictionary"" with strategies for making problems more manageable. Polyas approach emphasizes the importance of intuition and creative thinking in problem-solving, making it valuable for students, teachers, and anyone interested in improving their analytical skills"
Book of Proof , Richard Hammack ,2,"This book provides a comprehensive introduction to the art and science of mathematical proof. It guides readers through the essential skills of writing clear, concise, and rigorous proofs, covering topics such as propositional logic, quantifiers, proof methods (direct, indirect, proof by contradiction), induction, and set theory. ""Book of Proof"" is a valuable resource for students of mathematics and computer science, helping them develop a strong foundation in mathematical reasoning and proof techniques."
The Algorithm Design Manual , Steven S. Skiena ,2,"The Algorithm Design Manual by Steven S. Skiena is a comprehensive guide to algorithm design and analysis. The book is divided into two main parts: the first focuses on algorithm design techniques and analysis, while the second serves as a reference, cataloging 75 important algorithmic problems. Skiena emphasizes practical applications and real-world problem-solving, incorporating ""war stories"" from his own experiences. The book covers topics such as data structures, graph algorithms, dynamic programming, and computational complexity. It's known for its accessible writing style and is widely used in university courses and by professional programmers. The latest edition includes expanded tutorial materials, online support for lecturers, and updated implementations in C, C++, and Java"
Algorithms ," Robert Sedgewicka, Kevin Wayne ",2,"This book surveys the most important computer algorithms currently in use and provides a full treatment of data structures and algorithms for sorting, searching, graph processing, and string processing--including fifty algorithms every programmer should know. In this edition, new Java implementations are written in an accessible modular programming style, where all of the code is exposed to the reader and ready to use. The algorithms in this book represent a body of knowledge developed over the last 50 years that has become indispensable, not just for professional programmers and computer science students but for any student with interests in science, mathematics, and engineering, not to mention students who use computation in the liberal arts.'
"
Concrete Mathematics: A Foundation for Computer Science ," Ronald Graham, Donald Knuth, Oren Patashnik ",2,"This book introduces the mathematics that supports advanced computer programming and the analysis of algorithms. The primary aim of its well-known authors is to provide a solid and relevant base of mathematical skills - the skills needed to solve complex problems, to evaluate horrendous sums, and to discover subtle patterns in data. It is an indispensable text and reference not only for computer scientists - the authors themselves rely heavily on it! - but for serious users of mathematics in virtually every discipline. Concrete Mathematics is a blending of CONtinuous and disCRETE mathematics. ""More concretely,"" the authors explain, ""it is the controlled manipulation of mathematical formulas, using a collection of techniques for solving problems."" The subject matter is primarily an expansion of the Mathematical Preliminaries section in Knuth's classic Art of Computer Programming, but the style of presentation is more leisurely, and individual topics are covered more deeply. Several new topics have been added, and the most significant ideas have been traced to their historical roots. The book includes more than 500 exercises, divided into six categories. Complete answers are provided for all exercises, except research problems, making the book particularly valuable for self-study. Major topics include: Sums Recurrences Integer functions Elementary number theory Binomial coefficients Generating functions Discrete probability Asymptotic methods This second edition includes important new material about mechanical summation. In response to the widespread use of the first edition as a reference book, the bibliography and index have also been expanded, and additional nontrivial improvements can be found on almost every page. Readers will appreciate the informal style of Concrete Mathematics. Particularly enjoyable are the marginal graffiti contributed by students who have taken courses based on this material. The authors want to convey not only the importance of the techniques presented, but some of the fun in learning and using them."
"The Art of Computer Programming, Vol. 1: Fundamental Algorithms", Donald Knuth ,2,"This book surveys the most important computer algorithms currently in use and provides a full treatment of data structures and algorithms for sorting, searching, graph processing, and string processing--including fifty algorithms every programmer should know. In this edition, new Java implementations are written in an accessible modular programming style, where all of the code is exposed to the reader and ready to use. The algorithms in this book represent a body of knowledge developed over the last 50 years that has become indispensable, not just for professional programmers and computer science students but for any student with interests in science, mathematics, and engineering, not to mention students who use computation in the liberal arts.'
"
"The Art of Computer Programming, Vol. 2: Seminumerical Algorithms", Donald Knuth ,2,"The second volume offers a complete introduction to the field of seminumerical algorithms, with separate chapters on random numbers and arithmetic. The book summarizes the major paradigms and basic theory of such algorithms, thereby providing a comprehensive interface between computer programming and numerical analysis. Particularly noteworthy in this third edition is Knuths new treatment of random number generators, and his discussion of calculations with formal power series.
"
"The Art of Computer Programming, Vol. 3: Sorting and Searching", Donald Knuth ,2,"This volume provides an in-depth exploration of sorting and searching algorithms, two fundamental operations in computer science. It covers a diverse array of sorting algorithms, including insertion sort, merge sort, quicksort, heapsort, and radix sort, analyzing their time and space complexity. The volume also examines various search techniques, such as binary search, tree search, and hash table-based searching, along with their efficiency and applications. It concludes with a discussion of specialized sorting and searching problems, such as external sorting and multidimensional searching.
"
"The Art of Computer Programming, Vol. 4: Combinatorial Algorithms, Part 1", Donald Knuth ,2,"The Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1"" is a comprehensive text focusing on combinatorial searching algorithms. The book covers two main chapters: ""Zeros and Ones,"" which delves into Boolean algebra, bitwise techniques, and binary decision diagrams; and ""Generating All Possibilities,"" which explores various combinatorial patterns such as generating all n-tuples, permutations, combinations, and trees. With approximately 1,500 exercises and answers for self-study, the volume offers readers ample opportunity to practice and apply concepts. Notably, the book emphasizes storage efficiency, crucial for combinatorial algorithms, and includes discussions on topics like Gray codes and alphametics. Despite its extensive content, Volume 4A represents only a portion of the original plan for Volume 4, highlighting the depth and breadth of material covered in this single volume.
"
"The Art of Computer Programming, Vol. 5: Combinatorial Algorithms, Part 2", Donald Knuth ,2,"The 736-page volume begins with an in-depth coverage of Backtrack Programming, introducing data structures with ""dancing links"" and presenting new techniques for important applications such as optimum partitioning and layout. The second half addresses Satisfiability, one of the most fundamental problems in computer science, discussing innovative techniques developed in the early 21st century with significant applications in areas like optimum scheduling, circuit design, and hardware verification. The book features extensive coverage of Dancing Links Backtracking and SAT Solvers, numerous exercises and puzzles to illustrate algorithms and techniques, a section on Mathematical Preliminaries Redux presenting basic probability theory techniques, and detailed answers to facilitate self-study. 
"
Schaum's Outline of Discrete Mathematics , Marc Lipson and Seymour Lipschutz ,2,"This is a study guide and problem book for discrete mathematics. It covers key topics like set theory, relations, functions, algorithms, logic, counting techniques, graph theory, trees, and Boolean algebra. The book contains hundreds of solved problems and practice exercises to help students master discrete math concepts. Its designed to supplement standard textbooks and is popular with students for exam preparation. The latest edition includes new material on probability and expanded coverage of logic."
Calculus Made Easy , Silvanus P. Thompson and Martin Gardner ,1,"Calculus Made Easy by Silvanus P. Thompson and Martin Gardner is a classic introduction to calculus, first published in 1910 and later updated by Gardner. The book aims to demystify calculus concepts by using clear, simple language and intuitive explanations. It covers topics such as differentiation, integration, and their applications. Thompson's approach focuses on understanding the fundamental ideas rather than rigorous proofs, using infinitesimals instead of limits. The updated edition by Gardner includes modernized language, new chapters, and additional practice problems. The book is known for its accessible style and has been popular among students and self-learners for over a century. It's particularly recommended for those intimidated by traditional calculus textbooks or looking for an intuitive understanding of the subject"
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction "," Trevor Hastie, Robert Tibshirani, Jerome Friedman ",1,"During the past decade there has been an explosion in computation and information technology. With it have come vast amounts of data in a variety of fields such as medicine, biology, finance, and marketing. The challenge of understanding these data has led to the development of new tools in the field of statistics, and spawned new areas such as data mining, machine learning, and bioinformatics. Many of these tools have common underpinnings but are often expressed with different terminology. This book describes the important ideas in these areas in a common conceptual framework. While the approach is statistical, the emphasis is on concepts rather than mathematics. Many examples are given, with a liberal use of color graphics. It should be a valuable resource for statisticians and anyone interested in data mining in science or industry. The book’s coverage is broad, from supervised learning (prediction) to unsupervised learning. The many topics include neural networks, support vector machines, classification trees and boosting---the first comprehensive treatment of this topic in any book. This major new edition features many topics not covered in the original, including graphical models, random forests, ensemble methods, least angle regression & path algorithms for the lasso, non-negative matrix factorization, and spectral clustering. There is also a chapter on methods for “wide” data (p bigger than n), including multiple testing and false discovery rates. Trevor Hastie, Robert Tibshirani, and Jerome Friedman are professors of statistics at Stanford University. They are prominent researchers in this area: Hastie and Tibshirani developed generalized additive models and wrote a popular book of that title. Hastie co-developed much of the statistical modeling software and environment in R/S-PLUS and invented principal curves and surfaces. Tibshirani proposed the lasso and is co-author of the very successful An Introduction to the Bootstrap. Friedman is the co-inventor of many data-mining tools including CART, MARS, projection pursuit and gradient boosting."
Simulation Modeling and Analysis , Averill M. Law ,1,"This text provides a comprehensive and state-of-the-art treatment of all the important aspects of a simulation study, including modeling, simulation software, model verification and validation, input modeling, random-number generators, as well as highlight major application areas such as manufacturing."
Introduction to Linear Algebra , Gilbert Strang ,1,"Linear algebra is something all mathematics undergraduates and many other students, in subjects ranging from engineering to economics, have to learn. The fifth edition of this hugely successful textbook retains all the qualities of earlier editions, while at the same time seeing numerous minor improvements and major additions. The latter include: • A new chapter on singular values and singular vectors, including ways to analyze a matrix of data • A revised chapter on computing in linear algebra, with professional-level algorithms and code that can be downloaded for a variety of languages • A new section on linear algebra and cryptography • A new chapter on linear algebra in probability and statistics. A dedicated and active website also offers solutions to exercises as well as new exercises from many different sources (including practice problems, exams, and development of textbook examples), plus codes in MATLAB®, Julia, and Python."
Data Mining: Practical Machine Learning Tools and Techniques ," Ian H. Witten, Eibe Frank, Mark A. Hall ",1,"Data Mining: Practical Machine Learning Tools and Techniques, Third Edition, offers a thorough grounding in machine learning concepts as well as practical advice on applying machine learning tools and techniques in real-world data mining situations. This highly anticipated third edition of the most acclaimed work on data mining and machine learning will teach you everything you need to know about preparing inputs, interpreting outputs, evaluating results, and the algorithmic methods at the heart of successful data mining. Thorough updates reflect the technical changes and modernizations that have taken place in the field since the last edition, including new material on Data Transformations, Ensemble Learning, Massive Data Sets, Multi-instance Learning, plus a new version of the popular Weka machine learning software developed by the authors. Witten, Frank, and Hall include both tried-and-true techniques of today as well as methods at the leading edge of contemporary research. The book is targeted at information systems practitioners, programmers, consultants, developers, information technology managers, specification writers, data analysts, data modelers, database R&D professionals, data warehouse engineers, data mining professionals. The book will also be useful for professors and students of upper-level undergraduate and graduate-level data mining and machine learning courses who want to incorporate data mining as part of their data management knowledge base and expertise. - Provides a thorough grounding in machine learning concepts as well as practical advice on applying the tools and techniques to your data mining projects - Offers concrete tips and techniques for performance improvement that work by transforming the input or output in machine learning methods - Includes downloadable Weka software toolkit, a collection of machine learning algorithms for data mining tasks—in an updated, interactive interface. Algorithms in toolkit cover: data pre-processing, classification, regression, clustering, association rules, visualization"
Introduction to Data Mining ," by Pang-Ning Tan, Michael Steinbach, Vipin Kumar ",1,"Introduction to Data Mining presents fundamental concepts and algorithms for those learning data mining for the first time. Each concept is explored thoroughly and supported with numerous examples. The text requires only a modest background in mathematics. Each major topic is organized into two chapters, beginning with basic concepts that provide necessary background for understanding each data mining technique, followed by more advanced concepts and algorithms."
Pattern Recognition and Machine Learning , Christopher M. Bishop ,1,"""Pattern Recognition and Machine Learning"" by Christopher M. Bishop is a comprehensive textbook on machine learning published in 2006. It covers a wide range of topics including probability theory, linear models, neural networks, kernel methods, graphical models, and more advanced techniques like variational inference. The book is known for its rigorous mathematical treatment and Bayesian perspective on machine learning. While its primarily aimed at advanced undergraduates or graduate students, it has become a standard reference in the field. Despite its age, many of the fundamental concepts and techniques it covers remain highly relevant to modern machine learning"
Probability and Statistics for Engineering and the Sciences , Jay Devore ,1,"""Probability and Statistics for Engineering and the Sciences"" by Jay Devore is a widely used textbook for introductory probability and statistics courses, particularly in engineering and science programs. Now in its 9th edition (as of 2023), the book provides a comprehensive introduction to probability models and statistical methods. It covers topics such as probability theory, random variables, estimation, hypothesis testing, regression, and analysis of variance. The text is known for its clear explanations, real-world examples, and emphasis on practical applications in engineering and scientific contexts"
Practical Data Science with R , Nina Zumel and John Mount ,1,"Summary Practical Data Science with R, Second Edition takes a practice-oriented approach to explaining basic principles in the ever expanding field of data science. You’ll jump right to real-world use cases as you apply the R programming language and statistical analysis techniques to carefully explained examples based in marketing, business intelligence, and decision support. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Evidence-based decisions are crucial to success. Applying the right data analysis techniques to your carefully curated business data helps you make accurate predictions, identify trends, and spot trouble in advance. The R data analysis platform provides the tools you need to tackle day-to-day data analysis and machine learning tasks efficiently and effectively. About the book Practical Data Science with R, Second Edition is a task-based tutorial that leads readers through dozens of useful, data analysis practices using the R language. By concentrating on the most important tasks you’ll face on the job, this friendly guide is comfortable both for business analysts and data scientists. Because data is only useful if it can be understood, you’ll also find fantastic tips for organizing and presenting data in tables, as well as snappy visualizations. What's inside Statistical analysis for business pros Effective data presentation The most useful R tools Interpreting complicated predictive models About the reader You’ll need to be comfortable with basic statistics and have an introductory knowledge of R or another high-level programming language. About the author Nina Zumel and John Mount founded a San Francisco–based data science consulting firm. Both hold PhDs from Carnegie Mellon University and blog on statistics, probability, and computer science."
